title,movieId,tag,genres,year,combined
Between Two Ferns: The Movie (2019),206499,original,comedy,2019,original comedy
Dave Chappelle: Sticks & Stones (2019),205425,stand_up_comedy original,comedy,2019,stand_up_comedy original comedy
Ready or Not (2019),204704,family pornography,comedy horror thriller,2019,family pornography comedy horror thriller
Joker (2019),204698,social_commentary visually_appealing great_acting original,crime drama thriller,2019,social_commentary visually_appealing great_acting original crime drama thriller
In the Tall Grass,204692,weird creepy original,drama horror thriller,,weird creepy original drama horror thriller
It: Chapter Two (2019),204542,horror original,horror,2019,horror original horror
Ad Astra (2019),204352,drama original,adventure drama mystery sci_fi thriller,2019,drama original adventure drama mystery sci_fi thriller
Fast & Furious Presents: Hobbs & Shaw (2019),203519,franchise,action,2019,franchise action
Annabelle Comes Home (2019),203513,family creepy original,horror,2019,family creepy original horror
Anna (2019),202934,assassin chase suspense,action thriller,2019,assassin chase suspense action thriller
Late Night (2019),202575,original drama family,comedy drama,2019,original drama family comedy drama
Child's Play (2019),202519,horror original,comedy horror,2019,horror original comedy horror
Parasite (2019),202439,social_commentary weird visually_appealing great_acting suspense dark_humor oscar_(best_directing) original cinematography,comedy drama,2019,social_commentary weird visually_appealing great_acting suspense dark_humor oscar_(best_directing) original cinematography comedy drama
Once Upon a Time in Hollywood (2019),202429,stylized drama visually_appealing good_acting,comedy drama,2019,stylized drama visually_appealing good_acting comedy drama
Always Be My Maybe (2019),202393,original,comedy romance,2019,original comedy romance
The Art of Self-Defense (2019),202155,original,comedy,2019,original comedy
I Am Mother (2019),202103,original,sci_fi thriller,2019,original sci_fi thriller
Spider-Man: Far from Home (2019),201773,action visually_appealing plot_twist pg_13 superheroes technology original,action adventure sci_fi,2019,action visually_appealing plot_twist pg_13 superheroes technology original action adventure sci_fi
Brightburn (2019),201594,original,drama horror sci_fi thriller,2019,original drama horror sci_fi thriller
Toy Story 4 (2019),201588,children original family friendship,adventure animation children comedy,2019,children original family friendship adventure animation children comedy
The Perfection (2018),201242,original,drama horror thriller,2018,original drama horror thriller
A Dog's Journey (2019),200842,touching family girlie_movie friendship,children,2019,touching family girlie_movie friendship children
Pokémon: Detective Pikachu (2019),200838,original,action children crime fantasy mystery,2019,original action children crime fantasy mystery
John Wick: Chapter 3 – Parabellum (2019),200818,assassin visually_appealing action mentor gunfight,action crime thriller,2019,assassin visually_appealing action mentor gunfight action crime thriller
The Silence (2019),200814,original,horror,2019,original horror
Tolkien (2019),200638,family friendship,drama,2019,family friendship drama
Missing Link (2019),200630,family original,adventure animation children comedy fantasy,2019,family original adventure animation children comedy fantasy
Booksmart (2019),200306,original,comedy,2019,original comedy
The Professor and the Madman (2019),199910,drama,drama,2019,drama drama
Leaving Neverland (2019),199538,original,documentary,2019,original documentary
Greta (2019),199307,original,drama thriller,2019,original drama thriller
Pet Sematary (2019),199223,family death original,horror thriller,2019,family death original horror thriller
Captive State (2019),199073,original,sci_fi thriller,2019,original sci_fi thriller
The Wandering Earth (2019),198265,original,sci_fi,2019,original sci_fi
Twin Peaks (1989),198185,weird enigmatic surreal criterion,drama mystery,1989,weird enigmatic surreal criterion drama mystery
The Kid Who Would Be King (2019),198129,family original,action adventure children fantasy,2019,family original action adventure children fantasy
The Farewell (2019),197883,intense powerful_ending great_acting tense suspense touching vengeance imdb_top_250 oscar_(best_directing) original,comedy,2019,intense powerful_ending great_acting tense suspense touching vengeance imdb_top_250 oscar_(best_directing) original comedy
Us (2019),197711,creepy original suspense,horror thriller,2019,creepy original suspense horror thriller
Happy Death Day 2U (2019),197663,original,horror mystery thriller,2019,original horror mystery thriller
Escape Room (2019),197343,original,action horror thriller,2019,original action horror thriller
Arctic (2018),197207,wilderness,drama thriller,2018,wilderness drama thriller
Fighting with My Family (2019),197201,original,comedy drama,2019,original comedy drama
Alita: Battle Angel (2019),197175,future technology,action romance sci_fi thriller,2019,future technology action romance sci_fi thriller
Black Mirror: Bandersnatch (2018),196997,original,drama mystery sci_fi thriller,2018,original drama mystery sci_fi thriller
Dragon Ball Super: Broly (2018),196937,mentor,action animation sci_fi,2018,mentor action animation sci_fi
The Lego Movie 2: The Second Part (2019),196891,original,action adventure animation children comedy,2019,original action adventure animation children comedy
Glass (2019),196889,original,drama horror mystery sci_fi thriller,2019,original drama horror mystery sci_fi thriller
What Men Want (2019),196887,girlie_movie,comedy fantasy romance,2019,girlie_movie comedy fantasy romance
Ellen DeGeneres: Relatable (2018),196611,family,comedy,2018,family comedy
Reign of the Supermen (2019),196487,original pg_13,action animation sci_fi,2019,original pg_13 action animation sci_fi
How to Train Your Dragon: The Hidden World (2019),196417,family action,adventure animation children,2019,family action adventure animation children
Welcome to Marwen (2018),196175,original,animation comedy drama fantasy,2018,original animation comedy drama fantasy
The Dawn Wall (2018),196067,storytelling documentary mentor good,adventure documentary,2018,storytelling documentary mentor good adventure documentary
Mortal Engines (2018),195777,action,sci_fi,2018,action sci_fi
Stan & Ollie (2018),195305,original,comedy drama,2018,original comedy drama
On the Basis of Sex (2018),195167,girlie_movie,drama,2018,girlie_movie drama
Mary Poppins Returns (2018),195161,family,children fantasy,2018,family children fantasy
